Supplier,Part #,Description,Project Code,Unit Price,Count,Total
Sparkfun,Accelerometer,SparkFun IMU Breakout - MPU-9250 ,Team A,14.95,1,14.95
Sparkfun,Accelerometer,SparkFun Triple Axis Accelerometer Breakout - MMA8452Q ,Team B,7.96,1,7.96
Amazon,Baby Bottles,"Playtex Baby Nurser Baby Bottle with Drop-Ins Disposable Liners, Closer to Breastfeeding, 4 Ounce - 3 Pack",Team A,8.89,1,8.89
Amazon,Battery,Tattu 6pcs 3.7V 800mAh 25C LiPo Battery Pack 1S with JST Plug for F181 MJX X400 X400W X800 X300C X200 X500 Sky Viper S670 V950hd V950str HS200W RC Quadcopter Parts Drone,Team A,16.99,1,16.99
Amazon,Battery,"power bank.intelligent 3-Port Anguo 10000mAh Power Bank.Portable Battery Charger for iPhone, iPad, and other Smart Devices (External Battery Power Bank),Space Gray",Team C,16.99,1,16.99
Sparkfun,Battery,Lithium Ion Battery - 2Ah (3),Team B,12.95,3,38.85
Sparkfun,Battery Charger,SparkFun LiPo Charger Basic - Micro-USB ,Team B,7.95,1,7.95
Sparkfun,Battery Connector,JST Right-Angle Connector - Through-Hole 2-Pin ,Team B,0.95,1,0.95
Amazon,Cane,Europa Folding Cane w-Marshmallow Hook Tip- 56-in.,Team C,19.95,1,19.95
Sparkfun,Flex Sensor,"Flex Sensor 4.5"" ",Team A,12.95,1,12.95
Amazon,FTDI,Micro USB FTDI Basic Breakout Module for Arduino 3.3V/5V,Team D,9.95,1,9.95
Sparkfun,FTDI,SparkFun FTDI Basic Breakout - 5V ,Team D,14.95,1,14.95
Sparkfun,FTDI,SparkFun FTDI Basic Breakout - 5V ,Team B,11.96,1,11.96
Sparkfun,Heart Rate Monitor,SparkFun Single Lead Heart Rate Monitor - AD8232,Team B,19.95,1,19.95
Amazon,Jumper wires,"2 of CIRCUIT-TEST Preformed Breadboard Jumper Wire Kit - Assorted Colors, 350 Pcs",Team D,14.99,1,14.99
Amazon,Lilypad Simblee ,Lilypad Simblee BLE Board - RFD77101,Team C,24.95,2,49.9
Sparkfun,Lilypad Simblee ,LilyPad Simblee BLE Board - RFD77101 ,Team D,24.95,1,24.95
Sparkfun,Motor,Vibration Motor,Team A,4.95,1,4.95
Sparkfun,Pulse Sensor ,Pulse Sensor ,Team A,24.95,1,24.95
Amazon,Regulator,Icstation Mini DC to DC Voltage Regulator Step Up Boost Converter Power Supply Module 1V-5V to 5V 500mA (Pack of 5),Team B,8.99,1,8.99
Amazon,SD Card,SanDisk 16GB Mobile MicroSDHC Class 4 Flash Memory Card With Adapter- SDSDQM-016G-B35A,Team C,7.8,1,7.8
Amazon,Sports Tape,"Premium Kinesiology Sports Physiotherapy Uncut Tape + BONUS Step by Step Instructional Guide. FDA Approved. Best Therapeutic Taping for Knee, Shoulder, Elbow & More, Boost Recovery & Provide Support",Team A,8.45,1,8.45
Sparkfun,Ultrasonic Sensor,Ultrasonic Sensor - HC-SR04,Team C,3.95,1,3.95
